,"Meal, Inexpensive Restaurant","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal),"Domestic Beer (0,5 liter draught)","Imported Beer (0,33 liter bottle)","Coke/Pepsi (0,33 liter bottle)","Water (0,33 liter bottle) ","Milk (regular), (1 liter)",Loaf of Fresh White Bread (500g),Eggs (regular) (12),Local Cheese (1kg),"Water (1,5 liter bottle)",Bottle of Wine (Mid-Range),"Domestic Beer (0,5 liter bottle)","Imported Beer (0,33 liter bottle)",Cigarettes 20 Pack (Marlboro),One-way Ticket (Local Transport),"Chicken Breasts (Boneless, Skinless), (1kg)",Monthly Pass (Regular Price),Gasoline (1 liter),Volkswagen Golf,Apartment (1 bedroom) in City Centre,Apartment (1 bedroom) Outside of Centre,Apartment (3 bedrooms) in City Centre,Apartment (3 bedrooms) Outside of Centre,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","1 min, of Prepaid Mobile Tariff Local (No Discounts or Plans)","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",1 Pair of Jeans (Levis 501 Or Similar),"1 Summer Dress in a Chain Store (Zara, H&M, ,,,)",1 Pair of Nike Running Shoes (Mid-Range),1 Pair of Men Leather Business Shoes,Price per Square Meter to Buy Apartment in City Centre,Price per Square Meter to Buy Apartment Outside of Centre,Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Taxi Start (Normal Tariff),Taxi 1km (Normal Tariff),Taxi 1hour Waiting (Normal Tariff),Apples (1kg),Oranges (1kg),Potato (1kg),Lettuce (1 head),Cappuccino (regular),"Rice (white), (1kg)",Tomato (1kg),Banana (1kg),Onion (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),"Toyota Corolla 1,6l 97kW Comfort (Or Equivalent New Car)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child","International Primary School, Yearly for 1 Child"
"Edmonton, Canada","13,75 €","48,12 €","6,53 €","4,12 €","4,12 €","1,48 €","1,20 €","1,57 €","1,82 €","2,20 €","7,40 €","1,24 €","10,31 €","1,54 €","2,37 €","9,62 €","2,41 €","8,45 €","66,68 €","0,71 €","16.499,14 €","841,34 €","680,79 €","1.340,62 €","1.052,03 €","154,54 €","0,23 €","52,56 €","38,60 €","13,33 €","9,62 €","45,49 €","33,79 €","64,09 €","83,04 €","2.283,92 €","1.715,29 €","2.552,22 €","3,62 €","2,58 €","1,13 €","20,62 €","2,68 €","2,54 €","2,14 €","1,72 €","2,95 €","2,53 €","3,09 €","1,11 €","1,53 €","9,78 €","16.049,12 €","588,27 €","6.840,27 €"
"Toronto, Canada","13,75 €","55,00 €","7,56 €","5,16 €","5,50 €","1,64 €","1,24 €","1,94 €","1,99 €","2,27 €","13,71 €","1,39 €","11,00 €","2,17 €","2,22 €","10,31 €","2,23 €","9,73 €","103,91 €","0,83 €","18.011,56 €","1.474,75 €","1.180,29 €","2.401,86 €","1.792,30 €","95,48 €","0,26 €","44,42 €","37,38 €","22,27 €","10,31 €","47,84 €","31,55 €","73,58 €","91,59 €","7.385,25 €","5.730,86 €","2.352,69 €","3,33 €","2,75 €","1,26 €","21,33 €","2,84 €","3,04 €","2,05 €","1,93 €","3,10 €","2,46 €","2,88 €","1,22 €","2,13 €","14,80 €","17.570,16 €","1.022,99 €","17.653,10 €"
"Dublin, Ireland","15,00 €","60,00 €","8,00 €","5,80 €","5,50 €","1,80 €","1,59 €","0,95 €","1,42 €","2,79 €","7,51 €","1,41 €","12,00 €","2,42 €","2,69 €","12,70 €","3,00 €","8,35 €","125,00 €","1,44 €","24.000,00 €","1.692,24 €","1.405,38 €","2.964,36 €","2.292,57 €","169,12 €","0,26 €","54,01 €","40,22 €","15,94 €","12,00 €","77,61 €","35,45 €","85,42 €","95,52 €","5.457,63 €","4.134,61 €","2.531,16 €","3,43 €","4,00 €","1,35 €","26,73 €","2,09 €","2,30 €","1,56 €","0,96 €","3,20 €","1,59 €","2,77 €","1,90 €","1,14 €","9,24 €","25.618,07 €","1.041,49 €","8.078,42 €"
"Rome, Italy","15,00 €","55,00 €","8,00 €","5,00 €","4,00 €","1,87 €","0,99 €","1,28 €","1,54 €","2,96 €","12,33 €","0,38 €","6,00 €","1,02 €","1,57 €","5,50 €","1,50 €","8,32 €","35,00 €","1,57 €","20.700,00 €","987,37 €","679,27 €","1.870,00 €","1.176,32 €","171,15 €","0,18 €","29,64 €","57,77 €","16,81 €","8,50 €","80,36 €","31,39 €","79,79 €","116,65 €","6.421,74 €","2.926,09 €","1.466,06 €","2,12 €","4,00 €","1,41 €","27,00 €","1,88 €","1,84 €","1,33 €","1,00 €","1,28 €","2,02 €","2,04 €","1,77 €","1,29 €","14,54 €","23.535,29 €","523,86 €","11.972,73 €"
"Milan, Italy","15,00 €","60,00 €","8,00 €","5,00 €","5,00 €","2,49 €","1,12 €","1,21 €","1,94 €","2,87 €","13,54 €","0,40 €","7,00 €","1,20 €","2,01 €","5,50 €","2,00 €","8,83 €","39,00 €","1,59 €","22.400,00 €","1.099,67 €","731,69 €","2.311,84 €","1.428,30 €","163,97 €","0,18 €","28,93 €","66,62 €","22,96 €","10,00 €","86,65 €","32,80 €","86,32 €","135,80 €","8.221,95 €","3.719,51 €","1.601,00 €","1,95 €","5,00 €","1,12 €","28,32 €","2,13 €","2,05 €","1,28 €","1,27 €","1,46 €","2,25 €","2,45 €","1,99 €","1,27 €","17,75 €","23.233,33 €","617,27 €","10.761,90 €"
"Brussels, Belgium","15,00 €","60,00 €","8,20 €","4,00 €","4,00 €","2,47 €","2,07 €","0,97 €","1,64 €","2,65 €","13,14 €","0,94 €","7,00 €","1,24 €","1,87 €","6,70 €","2,10 €","9,07 €","49,00 €","1,44 €","20.200,00 €","838,20 €","686,19 €","1.432,14 €","1.116,71 €","122,98 €","0,23 €","43,43 €","26,11 €","16,94 €","11,00 €","72,59 €","33,81 €","78,65 €","116,11 €","3.232,14 €","2.538,10 €","2.289,69 €","1,68 €","3,00 €","1,95 €","30,00 €","2,17 €","2,24 €","1,50 €","1,29 €","3,17 €","2,19 €","2,07 €","1,63 €","1,30 €","13,56 €","21.788,33 €","695,44 €","18.342,86 €"
"Eindhoven, Netherlands","15,00 €","56,50 €","8,00 €","5,00 €","3,00 €","2,41 €","1,99 €","0,93 €","1,09 €","2,44 €","10,23 €","0,81 €","5,99 €","1,19 €","1,78 €","7,00 €","3,99 €","8,44 €","72,00 €","1,62 €","24.830,00 €","965,16 €","838,00 €","1.513,54 €","1.245,65 €","168,08 €","0,11 €","36,18 €","24,24 €","19,11 €","12,00 €","81,36 €","29,35 €","78,11 €","110,76 €","3.471,67 €","2.559,09 €","2.603,84 €","2,41 €","3,19 €","3,00 €","36,00 €","2,23 €","1,55 €","1,56 €","1,04 €","2,63 €","1,87 €","2,44 €","1,70 €","1,30 €","14,64 €","25.728,62 €","1.221,30 €","4.787,50 €"
"Utrecht, Netherlands","15,00 €","65,00 €","8,00 €","5,00 €","4,50 €","2,53 €","1,99 €","0,92 €","1,15 €","2,45 €","10,49 €","0,80 €","6,00 €","1,10 €","1,75 €","7,00 €","2,60 €","8,39 €","90,00 €","1,66 €","23.000,00 €","1.135,77 €","791,90 €","1.944,44 €","1.272,50 €","193,84 €","0,15 €","35,06 €","28,05 €","20,62 €","11,00 €","100,80 €","37,56 €","91,65 €","123,76 €","4.334,90 €","3.548,50 €","2.214,18 €","2,55 €","5,00 €","2,20 €","36,00 €","2,19 €","1,50 €","1,41 €","1,07 €","3,03 €","1,92 €","2,39 €","1,93 €","1,30 €","15,66 €","33.271,60 €","1.450,00 €","6.125,00 €"
"Paris, France","15,00 €","50,00 €","8,70 €","7,00 €","6,00 €","3,14 €","2,19 €","1,24 €","1,52 €","3,40 €","18,14 €","0,90 €","8,00 €","1,78 €","2,27 €","8,80 €","1,90 €","12,98 €","75,00 €","1,56 €","21.500,00 €","1.177,51 €","837,76 €","2.597,17 €","1.736,93 €","170,29 €","0,19 €","27,15 €","39,98 €","20,05 €","11,00 €","86,04 €","36,00 €","92,46 €","135,00 €","11.203,03 €","8.334,37 €","2.215,02 €","1,63 €","5,00 €","1,35 €","39,02 €","3,04 €","2,64 €","1,98 €","1,30 €","3,40 €","1,79 €","2,82 €","2,11 €","2,28 €","18,89 €","24.250,00 €","877,75 €","12.939,69 €"
"Amsterdam, Netherlands","15,00 €","65,00 €","8,00 €","5,00 €","4,00 €","2,35 €","1,96 €","1,02 €","1,43 €","2,64 €","11,93 €","0,83 €","5,99 €","1,26 €","2,07 €","7,00 €","3,20 €","8,79 €","97,00 €","1,66 €","25.505,00 €","1.584,45 €","1.195,63 €","2.683,74 €","1.884,00 €","169,18 €","0,18 €","40,47 €","36,67 €","25,64 €","12,00 €","84,49 €","37,62 €","93,85 €","133,43 €","7.733,98 €","4.988,62 €","2.646,66 €","2,33 €","5,00 €","2,35 €","40,33 €","2,27 €","1,77 €","1,54 €","1,03 €","3,13 €","1,90 €","2,36 €","1,75 €","1,27 €","13,68 €","26.696,43 €","1.542,42 €","13.010,39 €"
"Tel Aviv-Yafo, Israel","15,54 €","64,75 €","12,95 €","7,77 €","7,77 €","2,37 €","1,82 €","1,54 €","2,24 €","3,19 €","12,84 €","1,28 €","12,95 €","2,25 €","3,11 €","9,07 €","1,53 €","9,41 €","55,69 €","1,64 €","34.966,12 €","1.326,91 €","993,88 €","2.192,51 €","1.613,78 €","197,25 €","0,04 €","24,84 €","67,82 €","16,66 €","10,36 €","86,54 €","46,73 €","114,41 €","114,91 €","10.968,44 €","7.192,46 €","2.306,23 €","3,67 €","3,21 €","0,96 €","23,31 €","2,67 €","1,69 €","1,22 €","1,78 €","3,40 €","2,25 €","1,58 €","2,26 €","1,02 €","19,92 €","34.787,86 €","837,46 €","9.237,96 €"
"Jerusalem, Israel","15,56 €","62,24 €","12,97 €","7,26 €","7,26 €","2,07 €","1,71 €","1,43 €","1,54 €","3,32 €","10,63 €","1,50 €","10,37 €","2,02 €","3,04 €","9,08 €","1,53 €","8,33 €","55,23 €","1,67 €","34.229,98 €","919,40 €","740,05 €","1.577,52 €","1.213,39 €","166,88 €","0,13 €","24,16 €","71,27 €","16,60 €","10,37 €","81,25 €","56,11 €","104,25 €","110,38 €","7.929,81 €","4.754,16 €","1.911,12 €","3,75 €","3,11 €","0,95 €","21,24 €","2,76 €","1,35 €","0,89 €","1,19 €","2,80 €","2,06 €","1,31 €","1,78 €","0,94 €","13,52 €","34.921,49 €","566,18 €","4.019,43 €"
"San Francisco, CA, United States","15,95 €","71,88 €","8,98 €","6,29 €","7,19 €","2,26 €","1,72 €","0,98 €","3,12 €","2,82 €","15,47 €","1,74 €","13,48 €","2,04 €","1,98 €","10,78 €","2,47 €","12,11 €","72,78 €","0,95 €","19.802,61 €","3.131,06 €","2.527,11 €","5.661,53 €","4.320,95 €","127,73 €","0,09 €","60,00 €","77,08 €","16,81 €","13,48 €","55,68 €","38,39 €","77,20 €","134,75 €","11.670,67 €","8.658,93 €","6.532,21 €","4,18 €","3,14 €","1,95 €","29,65 €","4,38 €","3,11 €","3,49 €","1,17 €","4,06 €","4,15 €","4,33 €","1,79 €","2,47 €","14,53 €","20.177,73 €","1.959,36 €","25.657,74 €"
"Copenhagen, Denmark","17,40 €","80,29 €","10,04 €","6,69 €","5,35 €","3,02 €","2,22 €","1,21 €","2,75 €","3,07 €","10,50 €","1,07 €","8,03 €","1,61 €","2,18 €","6,02 €","3,21 €","8,70 €","53,53 €","1,50 €","33.453,16 €","1.234,40 €","919,12 €","2.210,96 €","1.655,25 €","196,67 €","0,12 €","34,45 €","36,85 €","30,51 €","14,72 €","102,61 €","38,20 €","101,26 €","129,68 €","6.157,07 €","4.258,87 €","2.803,98 €","1,62 €","6,69 €","2,01 €","53,55 €","2,44 €","2,61 €","1,63 €","1,45 €","5,21 €","1,98 €","3,00 €","2,25 €","1,33 €","11,38 €","32.048,06 €","429,52 €","7.549,80 €"
"London, United Kingdom","17,49 €","64,15 €","7,00 €","5,83 €","5,25 €","1,66 €","1,31 €","1,13 €","1,27 €","2,39 €","7,87 €","0,91 €","9,33 €","2,03 €","2,13 €","12,83 €","2,92 €","7,00 €","167,34 €","1,51 €","23.325,97 €","2.015,24 €","1.420,02 €","3.634,96 €","2.373,78 €","186,96 €","0,13 €","37,07 €","46,02 €","13,66 €","14,00 €","76,44 €","37,03 €","77,94 €","93,35 €","15.242,29 €","8.142,19 €","2.756,93 €","3,31 €","4,67 €","2,97 €","40,82 €","2,11 €","2,39 €","1,37 €","0,88 €","3,30 €","1,52 €","2,68 €","1,34 €","1,20 €","9,79 €","25.282,88 €","1.605,65 €","21.240,00 €"
"Reykjavik, Iceland","17,96 €","109,16 €","11,64 €","8,73 €","7,28 €","2,61 €","1,92 €","1,20 €","2,91 €","4,80 €","12,29 €","1,57 €","18,19 €","2,46 €","2,40 €","10,18 €","3,42 €","14,72 €","93,15 €","1,63 €","26.126,40 €","1.458,29 €","1.203,14 €","2.332,00 €","1.918,32 €","88,14 €","0,15 €","59,63 €","54,44 €","33,00 €","11,57 €","108,50 €","45,09 €","126,37 €","164,79 €","4.384,32 €","3.273,73 €","2.908,86 €","6,30 €","5,02 €","2,28 €","57,64 €","2,09 €","1,96 €","1,86 €","2,20 €","4,11 €","2,37 €","3,37 €","1,66 €","1,42 €","20,84 €","30.138,76 €","245,58 €","6.731,73 €"
"New York, NY, United States","17,97 €","76,37 €","8,09 €","6,29 €","7,19 €","1,85 €","1,59 €","1,04 €","3,33 €","3,28 €","14,21 €","2,07 €","13,48 €","2,07 €","2,43 €","13,48 €","2,47 €","12,37 €","114,11 €","0,71 €","19.627,40 €","2.854,26 €","1.788,76 €","5.574,89 €","3.314,05 €","116,65 €","0,09 €","55,18 €","67,04 €","30,10 €","14,38 €","47,04 €","34,37 €","75,39 €","113,98 €","13.179,53 €","6.891,37 €","4.665,46 €","4,17 €","2,70 €","1,59 €","26,95 €","5,63 €","5,70 €","3,81 €","1,94 €","4,22 €","5,70 €","5,33 €","2,17 €","3,07 €","13,56 €","18.118,42 €","2.106,38 €","34.441,93 €"
"Oslo, Norway","18,70 €","80,88 €","11,12 €","9,00 €","9,10 €","2,92 €","2,51 €","1,80 €","2,92 €","3,79 €","10,64 €","1,70 €","15,17 €","3,04 €","3,60 €","11,98 €","3,64 €","12,69 €","75,83 €","1,65 €","34.626,88 €","1.280,03 €","990,78 €","2.080,65 €","1.595,19 €","158,58 €","0,08 €","45,73 €","42,44 €","29,12 €","14,15 €","92,08 €","37,59 €","97,40 €","132,04 €","8.323,16 €","5.593,16 €","2.985,88 €","2,81 €","10,11 €","1,42 €","43,49 €","2,56 €","2,34 €","1,84 €","2,02 €","4,28 €","2,43 €","3,05 €","2,21 €","1,61 €","25,58 €","31.245,91 €","319,19 €","10.981,56 €"
"Zurich, Switzerland","23,12 €","92,46 €","12,94 €","6,24 €","5,55 €","3,87 €","3,21 €","1,58 €","2,88 €","5,33 €","22,63 €","1,13 €","12,02 €","1,79 €","2,55 €","7,86 €","3,88 €","25,23 €","78,59 €","1,53 €","22.606,84 €","1.701,77 €","1.263,69 €","3.099,86 €","2.296,54 €","162,87 €","0,26 €","48,71 €","76,33 €","32,90 €","16,64 €","106,93 €","46,47 €","111,39 €","171,22 €","11.400,60 €","7.405,74 €","5.714,80 €","1,57 €","6,47 €","4,16 €","73,78 €","3,82 €","4,10 €","2,75 €","2,58 €","4,66 €","2,52 €","3,79 €","2,89 €","2,69 €","46,09 €","21.449,95 €","2.194,64 €","28.414,08 €"
